Function1,Function2
transfer,transferFrom
transferFrom,transfer
setForcedRecipient,burn
setVulnerableAmount,transfer
setVulnerableAmount,transferFrom
setVulnerableAmount,mint
destroyAndPayout,transfer
destroyAndPayout,transferFrom
