Name,Tot. Statements,Tot. Branches,Branches Covered,Generations,Blockchain Time,Offchain Time,Total time
0xcaba23959e8a7db9c88cd6fb2d57d73141c8abcf,54,4,3,11,647.519525,62.95787299999995,710.477398
0xcaba23959e8a7db9c88cd6fb2d57d73141c8abcf,54,4,3,11,683.1581,61.52263500000004,744.680735
DogezerPreICOCrowdsale,94,1,1,0,0,11.036,11.036
DogezerPreICOCrowdsale,94,1,1,0,0,11.429345,11.429345
BFToken,87,1,1,0,0,10.82188,10.82188
BFToken,87,1,1,0,0,10.862287,10.862287
0xcade35a25033e33773af69ae7fc79134f8e7399a,123,24,3,11,751.724235,176.48052399999995,928.204759
0xcade35a25033e33773af69ae7fc79134f8e7399a,123,24,3,11,788.716391,254.483703,1043.200094
0xcae348eeb5d0b9fd59a8fd179d8b3e8a7b871b5f,34,11,10,11,801.842629,153.440557,955.283186
0xcae348eeb5d0b9fd59a8fd179d8b3e8a7b871b5f,34,11,10,11,873.331701,155.0435040000001,1028.375205
0xcae98ae8044273acf7a39791227068235aa39d3a,27,15,15,1,74.717377,25.370767999999998,100.088145
0xcae98ae8044273acf7a39791227068235aa39d3a,27,15,15,1,67.951824,24.973591999999996,92.925416
BEB,54,1,1,0,0,10.908787,10.908787
BEB,54,1,1,0,0,10.824163,10.824163
RaRaCoin,151,1,1,0,0,13.84462,13.84462
RaRaCoin,151,1,1,0,0,13.916262,13.916262
0xcb03c8f714a3e67fe787f05cfa90abad0fd5bbf7,102,4,4,1,62.242658,42.82820900000001,105.070867
0xcb03c8f714a3e67fe787f05cfa90abad0fd5bbf7,102,4,4,1,65.235952,48.433587,113.669539
SlowMistToken,93,1,1,0,0,11.468227,11.468227
SlowMistToken,93,1,1,0,0,11.682928,11.682928
0xcb0d1799805c67b5982c1af64c0016be140b66e4,143,46,36,11,921.447437,224.325018,1145.772455
0xcb0d1799805c67b5982c1af64c0016be140b66e4,143,46,41,11,959.327268,207.95046000000002,1167.277728
0xcb1a3a12025bb86e1b2515b1122004f09e38c3fd,68,6,2,11,788.190057,65.47954099999993,853.669598
0xcb1a3a12025bb86e1b2515b1122004f09e38c3fd,68,6,2,11,843.745819,64.36575800000003,908.111577
0xcb22b112bfb0b01ba37a5a74c2be29120e510ed6,168,31,17,11,960.15762,210.40040399999998,1170.558024
0xcb22b112bfb0b01ba37a5a74c2be29120e510ed6,168,31,17,11,1076.607248,224.54643099999998,1301.153679
0xcb2d8b44446614e20f1410b88d1ba1eefef47a57,75,14,12,11,927.874143,130.02821399999993,1057.902357
0xcb2d8b44446614e20f1410b88d1ba1eefef47a57,75,14,12,11,833.756902,119.68171200000006,953.438614
BecToken,72,1,1,0,0,10.848509,10.848509
BecToken,72,1,1,0,0,10.96401,10.96401
0xcb35d14759e2931022c7315f53e37cdcd38e570c,205,11,6,11,1091.952275,210.87083099999995,1302.823106
0xcb35d14759e2931022c7315f53e37cdcd38e570c,205,11,6,11,1049.04339,201.05811199999994,1250.101502
0xcb378ea13660951792ab37bcd8e1188e385d15c5,56,10,3,11,898.731186,85.04655400000001,983.77774
0xcb378ea13660951792ab37bcd8e1188e385d15c5,56,10,3,11,1053.801457,92.78217900000004,1146.583636
0xcb39c3502415152b2ec90ff07ee18cc94f681a72,76,16,15,11,992.585683,127.38938000000007,1119.975063
0xcb39c3502415152b2ec90ff07ee18cc94f681a72,76,16,15,11,1094.02764,129.45116400000006,1223.478804
SABToken,83,1,1,0,0,10.915718,10.915718
SABToken,83,1,1,0,0,10.944092,10.944092
0xcb3f212ebe50982da1427488b9e09f5523bb392b,115,10,4,11,620.398768,48.19077600000003,668.589544
0xcb3f212ebe50982da1427488b9e09f5523bb392b,115,10,4,11,574.25205,50.95304999999996,625.2051
0xcb46b40def144e355064d729d0e72dfea80383a9,74,45,42,11,1148.692594,90.92481199999997,1239.617406
0xcb46b40def144e355064d729d0e72dfea80383a9,74,45,45,9,949.192628,77.48989299999994,1026.682521
FoMoJP,437,1,1,0,0,58.144406,58.144406
FoMoJP,437,1,1,0,0,59.127189,59.127189
Crowdsale,173,1,1,0,0,15.741861,15.741861
Crowdsale,173,1,1,0,0,15.6962,15.6962
0xcb5bdded57c7e560fcea2cf8f6c14a3267b89909,49,35,32,11,1001.390261,80.88375500000006,1082.274016
0xcb5bdded57c7e560fcea2cf8f6c14a3267b89909,49,35,33,11,994.287653,79.10867900000005,1073.396332
DoctorsChain,75,1,1,0,0,11.471155,11.471155
DoctorsChain,75,1,1,0,0,11.232101,11.232101
0xcb65fcd12896d7bfd486e2695396050478fafd3a,93,11,3,11,1086.633419,70.12547700000005,1156.758896
0xcb65fcd12896d7bfd486e2695396050478fafd3a,93,11,3,11,1132.338078,73.68539699999997,1206.023475
0xcb6fc72ecb71a27a2ddcf840512a1e94dbc72114,142,3,3,1,132.742405,35.296358,168.038763
0xcb6fc72ecb71a27a2ddcf840512a1e94dbc72114,142,3,3,1,133.775789,33.135197000000005,166.910986
PreSaleToken,169,1,1,0,0,22.281509,22.281509
PreSaleToken,169,1,1,0,0,20.849115,20.849115
0xcb91e27824ab32297f6dc97dbc990391b5a7ab55,56,4,3,11,1134.298934,71.69481900000005,1205.993753
0xcb91e27824ab32297f6dc97dbc990391b5a7ab55,56,4,3,11,1114.855008,68.09704299999999,1182.952051
PapyrusPrototypeToken,82,1,1,0,0,11.435131,11.435131
PapyrusPrototypeToken,82,1,1,0,0,11.089461,11.089461
0xcb9a22a16e3879283c1da182491403ae7cb15501,96,11,0,11,1149.768734,92.15375300000005,1241.922487
0xcb9a22a16e3879283c1da182491403ae7cb15501,96,11,0,11,1162.65389,91.28805299999999,1253.941943
0xcbabb230b5f41f760ece7005547c18c7cb87d3f5,114,13,5,11,1253.060675,119.36062800000013,1372.421303
0xcbabb230b5f41f760ece7005547c18c7cb87d3f5,114,13,5,11,1334.25851,121.92131800000016,1456.179828
Vertex_Token,183,1,1,0,0,21.849382,21.849382
Vertex_Token,183,1,1,0,0,24.178986,24.178986
InterbetCoin,40,1,1,0,0,11.022626,11.022626
InterbetCoin,40,1,1,0,0,10.915943,10.915943
0xcbc2fb817bc0e434978e16f96950d84c38c77bde,108,13,13,1,113.951704,19.651170000000008,133.602874
0xcbc2fb817bc0e434978e16f96950d84c38c77bde,108,13,13,6,670.533197,53.59992699999998,724.133124
YEEToken,94,1,1,0,0,11.021514,11.021514
YEEToken,94,1,1,0,0,10.854045,10.854045
MusicbackToken,72,1,1,0,0,11.193709,11.193709
MusicbackToken,72,1,1,0,0,10.992165,10.992165
JMINVERSIONESCRIPTOMONEDAS,57,1,1,0,0,10.700906,10.700906
JMINVERSIONESCRIPTOMONEDAS,57,1,1,0,0,10.697713,10.697713
DrAgentToken,78,1,1,0,0,10.863833,10.863833
DrAgentToken,78,1,1,0,0,10.888467,10.888467
COOLToken,77,1,1,0,0,10.789574,10.789574
COOLToken,77,1,1,0,0,10.728782,10.728782
ENJ,48,1,1,0,0,10.920042,10.920042
ENJ,48,1,1,0,0,11.026826,11.026826
0xcc1b8eff29f5668380f056654ac4bd4c5448befa,43,31,30,11,1473.035562,153.86152500000003,1626.897087
0xcc1b8eff29f5668380f056654ac4bd4c5448befa,43,31,30,11,1335.379532,142.13021300000014,1477.509745
upishki,118,1,1,0,0,20.75786,20.75786
upishki,118,1,1,0,0,20.120243,20.120243
0xcc2a74b28e786fac86be3ca354b1941c25ab3eab,61,17,17,2,223.655372,24.95115100000001,248.606523
0xcc2a74b28e786fac86be3ca354b1941c25ab3eab,61,17,17,1,112.714553,18.259649999999993,130.974203
NioShares,61,1,1,0,0,10.789345,10.789345
NioShares,61,1,1,0,0,10.843537,10.843537
0xcc4defd34fc7c72afe3750bb01f80600cf4facb7,200,1,1,1,111.450162,21.594065999999998,133.044228
0xcc4defd34fc7c72afe3750bb01f80600cf4facb7,200,1,1,1,109.807561,21.998308999999992,131.80587
0xcc4e0b15b4619e6bf0a8f023010f1849a7d6cef7,61,17,17,1,116.452337,19.229904000000005,135.682241
0xcc4e0b15b4619e6bf0a8f023010f1849a7d6cef7,61,17,17,1,108.369506,18.230760000000004,126.600266
0xcc5514e1fe02c4d63fe9eceb90aedf26e9c42e16,96,18,16,11,1384.709803,105.9079650000001,1490.617768
0xcc5514e1fe02c4d63fe9eceb90aedf26e9c42e16,96,18,16,11,1401.904113,102.67703000000006,1504.581143
DeepHealthToken,54,1,1,0,0,10.823845,10.823845
DeepHealthToken,54,1,1,0,0,10.716395,10.716395
SPCoin,159,1,1,0,0,13.743787,13.743787
SPCoin,159,1,1,0,0,13.428069,13.428069
SaleToken,90,1,1,0,0,10.847669,10.847669
SaleToken,90,1,1,0,0,10.829876,10.829876
