Source Function,Target Function
sellEggs(),getFreeShrimp()
hatchEggs(address),getFreeShrimp()
buyEggs(),getFreeShrimp()
getFreeShrimp(),becomeSnailmaster()
sellEggs(),becomeSnailmaster()
hatchEggs(address),becomeSnailmaster()
buyEggs(),becomeSnailmaster()
